experiment,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,accuracy_mean,accuracy_std
baseline,1,2.034468,0.01136517474568668,1.5902963333333335,0.026730742233116805,0.4076,0.001873499399519502
baseline,2,1.4719,0.0263011211357995,1.4160073333333336,0.07928368814789918,0.4902,0.020211877696047938
baseline,3,1.178998,0.05507063499724693,1.2207823333333334,0.2833154282144431,0.5800666666666666,0.07667739779969933
baseline,4,0.9552526666666666,0.08559131557192784,0.9438283333333334,0.07079726032364062,0.6731333333333334,0.025295322360731672
baseline,5,0.7906406666666667,0.08230738337678661,0.8986000000000001,0.11965463647932748,0.6972,0.038964214351119665
baseline,6,0.6766166666666665,0.0507774254007953,0.7486603333333334,0.05829474424279893,0.7435666666666667,0.01702507953970651
baseline,7,0.6090313333333334,0.0371424000346415,0.7135323333333333,0.10034059982047809,0.7597666666666667,0.0312794394664184
baseline,8,0.5637626666666666,0.02438068724079232,0.6844783333333333,0.07182762905966855,0.7671333333333333,0.018785455366674857
baseline,9,0.5338273333333333,0.0194852959519052,0.7276713333333333,0.11552853608668874,0.7576333333333333,0.03952332644569951
baseline,10,0.5090783333333333,0.010159002624929907,0.7143373333333334,0.1099063536486101,0.7675666666666666,0.030443444833548848
baseline,11,0.33755633333333335,0.012301205320347001,0.343041,0.005775531490694191,0.884,0.0018027756377320039
baseline,12,0.28220266666666666,0.012557252738291665,0.3318923333333333,0.005179216382169555,0.8867333333333334,0.0017616280348965218
baseline,13,0.255394,0.012892433594942436,0.3197816666666667,0.006664890871824796,0.8908,0.0018193405398660017
baseline,14,0.235693,0.012341985780254323,0.31870766666666667,0.009454820798583844,0.8931333333333332,0.0018583146486355442
baseline,15,0.222309,0.012322551805531191,0.3130866666666667,0.008639306009936981,0.8950999999999999,0.003041381265149078
baseline,16,0.18986066666666668,0.009327560470633954,0.2891223333333333,0.004761585590255999,0.9029666666666666,0.0009504384952921949
baseline,17,0.18075366666666667,0.009236640424598836,0.2857726666666667,0.004439277230961531,0.9051999999999999,0.0014999999999999875
baseline,18,0.17699733333333334,0.007971156524202333,0.2838133333333333,0.004277734018535234,0.9047000000000001,0.001039230484541324
baseline,19,0.17259166666666667,0.010531938916141374,0.285518,0.006807340963988807,0.9051666666666667,0.002709858544893718
baseline,20,0.16988233333333333,0.007127985503165206,0.282843,0.002850760600260928,0.9060666666666667,0.0003511884584284584
ls,1,2.0716946666666667,0.07973145213987597,1.7059323333333332,0.0759655271312805,0.42873333333333336,0.03486837153256992
ls,2,1.592035,0.05347660461360646,1.5528593333333334,0.016763354626486194,0.5225333333333333,0.014312348980280384
ls,3,1.363131,0.036711834549638125,1.3313623333333335,0.016270055203758082,0.6307999999999999,0.00610000000000002
ls,4,1.200985,0.024108508103986744,1.1785963333333334,0.018033332036352382,0.6995333333333335,0.009144579450873262
ls,5,1.0754466666666664,0.018646496516325314,1.0919603333333334,0.0551781473985249,0.7474333333333334,0.024010275578038077
ls,6,0.997674,0.01100614541971902,1.0898046666666668,0.05621255728334488,0.7437333333333335,0.028142553781299463
ls,7,0.9516783333333333,0.010599757465778792,1.0815979999999998,0.05815998882393302,0.7497666666666666,0.02118592299932518
ls,8,0.9194766666666667,0.008362498749377062,1.070967,0.07244434588703248,0.7632,0.015684705926474952
ls,9,0.8986649999999999,0.010142345931785212,1.0557896666666666,0.08178305676809426,0.7615,0.04086110620137439
ls,10,0.8761429999999999,0.010051101780401967,0.9741583333333333,0.027851519784983635,0.7969333333333334,0.01314736982568508
ls,11,0.7445716666666667,0.006193824370559261,0.748593,0.006367886384036714,0.8926,0.00266270539113887
ls,12,0.7023123333333333,0.004427288372506728,0.7355523333333333,0.004186385712441358,0.8966333333333334,0.0005033222956846888
ls,13,0.6827483333333334,0.004572597110322959,0.7335593333333333,0.007833339028366713,0.8995333333333333,0.0022941955743425767
ls,14,0.669023,0.005692601075079803,0.7286333333333334,0.004760634026401704,0.9009,0.00173493515728978
ls,15,0.6583040000000001,0.003226246890738561,0.7176969999999999,0.005733772667275892,0.9056666666666667,0.0017785762095938944
ls,16,0.6338596666666666,0.00383406550978635,0.7036653333333334,0.004722649927036118,0.9114666666666666,0.000960902353693279
ls,17,0.6271916666666667,0.004437447502036873,0.7006983333333334,0.002973415600506196,0.914,0.0007549834435270745
ls,18,0.6242026666666667,0.0043836088253097405,0.6992803333333333,0.0038613828265705035,0.9138999999999999,0.0006244997998398488
ls,19,0.6205116666666667,0.00368715735131186,0.6997059999999999,0.0031801718507024537,0.9141333333333334,0.0013503086067019852
ls,20,0.6184146666666667,0.0041791120268943995,0.698168,0.003321728014151667,0.9139333333333334,0.0003055050463304314
