experiment,seed,epoch,train_loss,val_loss,accuracy
baseline,42,1,2.022361,1.559545,0.4091
baseline,42,2,1.450309,1.387323,0.504
baseline,42,3,1.168755,1.107004,0.6119
baseline,42,4,0.96757,0.918255,0.6804
baseline,42,5,0.793599,0.991534,0.6687
baseline,42,6,0.674458,0.798783,0.7271
baseline,42,7,0.606309,0.608989,0.7918
baseline,42,8,0.56224,0.701094,0.7602
baseline,42,9,0.534854,0.856225,0.7137
baseline,42,10,0.51152,0.836346,0.7347
baseline,42,11,0.33836,0.342493,0.8835
baseline,42,12,0.283505,0.331074,0.8877
baseline,42,13,0.255616,0.316592,0.8918
baseline,42,14,0.233329,0.310702,0.8952
baseline,42,15,0.224343,0.311165,0.8936
baseline,42,16,0.189413,0.284471,0.902
baseline,42,17,0.179255,0.282351,0.9052
baseline,42,18,0.17643,0.27951,0.9041
baseline,42,19,0.174525,0.280197,0.9049
baseline,42,20,0.171611,0.279763,0.9064
baseline,0,1,2.044907,1.607974,0.4055
baseline,0,2,1.501192,1.355058,0.4996
baseline,0,3,1.238471,1.5433,0.4926
baseline,0,4,1.034018,1.023859,0.645
baseline,0,5,0.871429,0.940675,0.6813
baseline,0,6,0.728439,0.76251,0.7425
baseline,0,7,0.64746,0.809062,0.7293
baseline,0,8,0.588869,0.746542,0.7528
baseline,0,9,0.552779,0.694254,0.7689
baseline,0,10,0.517794,0.683579,0.7732
baseline,0,11,0.349436,0.349071,0.8825
baseline,0,12,0.294058,0.337432,0.8847
baseline,0,13,0.268174,0.327442,0.8887
baseline,0,14,0.249046,0.329139,0.8916
baseline,0,15,0.233488,0.322525,0.8931
baseline,0,16,0.199404,0.293987,0.903
baseline,0,17,0.190648,0.290789,0.9037
baseline,0,18,0.185237,0.288065,0.9041
baseline,0,19,0.182023,0.293189,0.9026
baseline,0,20,0.175987,0.285389,0.9061
baseline,17,1,2.036136,1.60337,0.4082
baseline,17,2,1.464199,1.505641,0.467
baseline,17,3,1.129768,1.012043,0.6357
baseline,17,4,0.86417,0.889371,0.694
baseline,17,5,0.706894,0.763591,0.7416
baseline,17,6,0.626953,0.684688,0.7611
baseline,17,7,0.573325,0.722546,0.7582
baseline,17,8,0.540179,0.605799,0.7884
baseline,17,9,0.513849,0.632535,0.7903
baseline,17,10,0.497921,0.623087,0.7948
baseline,17,11,0.324873,0.337559,0.886
baseline,17,12,0.269045,0.327171,0.8878
baseline,17,13,0.242392,0.315311,0.8919
baseline,17,14,0.224704,0.316282,0.8926
baseline,17,15,0.209096,0.30557,0.8986
baseline,17,16,0.180765,0.288909,0.9039
baseline,17,17,0.172358,0.284178,0.9067
baseline,17,18,0.169325,0.283865,0.9059
baseline,17,19,0.161227,0.283168,0.908
baseline,17,20,0.162049,0.283377,0.9057
ls,42,1,2.056722,1.647616,0.4568
ls,42,2,1.569291,1.569186,0.5246
ls,42,3,1.336457,1.338448,0.6317
ls,42,4,1.174619,1.161792,0.7074
ls,42,5,1.057262,1.142139,0.7287
ls,42,6,0.990045,1.047924,0.7663
ls,42,7,0.94444,1.016708,0.7722
ls,42,8,0.916492,1.154518,0.7456
ls,42,9,0.894596,1.149594,0.7149
ls,42,10,0.872945,0.97412,0.8004
ls,42,11,0.743042,0.745236,0.8929
ls,42,12,0.701482,0.736017,0.8961
ls,42,13,0.680846,0.729768,0.9011
ls,42,14,0.666297,0.723306,0.9029
ls,42,15,0.656761,0.711157,0.9077
ls,42,16,0.631408,0.700425,0.9125
ls,42,17,0.625858,0.699198,0.9147
ls,42,18,0.622843,0.696695,0.9144
ls,42,19,0.619031,0.696215,0.9155
ls,42,20,0.619098,0.697635,0.914
ls,0,1,2.000511,1.678344,0.4397
ls,0,2,1.55369,1.535691,0.5357
ls,0,3,1.347935,1.312751,0.6364
ls,0,4,1.206432,1.176349,0.7017
ls,0,5,1.074555,1.032868,0.7745
ls,0,6,0.992686,1.067799,0.7527
ls,0,7,0.94675,1.099058,0.747
ls,0,8,0.913016,1.032742,0.7683
ls,0,9,0.891189,1.018323,0.7784
ls,0,10,0.86808,0.946326,0.808
ls,0,11,0.739286,0.744606,0.8951
ls,0,12,0.698359,0.731153,0.8971
ls,0,13,0.679434,0.728343,0.9006
ls,0,14,0.665206,0.730123,0.8998
ls,0,15,0.656139,0.720074,0.9044
ls,0,16,0.631893,0.701487,0.9113
ls,0,17,0.623574,0.698774,0.9132
ls,0,18,0.62066,0.697427,0.9141
ls,0,19,0.617795,0.700465,0.9128
ls,0,20,0.613936,0.695145,0.9142
ls,17,1,2.157851,1.791837,0.3897
ls,17,2,1.653124,1.553701,0.5073
ls,17,3,1.405001,1.342888,0.6243
ls,17,4,1.221904,1.197648,0.6895
ls,17,5,1.094523,1.100874,0.7391
ls,17,6,1.010291,1.153691,0.7122
ls,17,7,0.963845,1.129028,0.7301
ls,17,8,0.928922,1.025641,0.7757
ls,17,9,0.91021,0.999452,0.7912
ls,17,10,0.887404,1.002029,0.7824
ls,17,11,0.751387,0.755937,0.8898
ls,17,12,0.707096,0.739487,0.8967
ls,17,13,0.687965,0.742567,0.8969
ls,17,14,0.675566,0.732471,0.9
ls,17,15,0.662012,0.72186,0.9049
ls,17,16,0.638278,0.709084,0.9106
ls,17,17,0.632143,0.704123,0.9141
ls,17,18,0.629105,0.703719,0.9132
ls,17,19,0.624709,0.702438,0.9141
ls,17,20,0.62221,0.701724,0.9136
